Lat,Lon,Title,Province/State,X.1,Country/Region,Confirmed,Deaths,Recovered
31.1517252,112.8783222,"Hubei, China",Hubei,", ",China,67.332,"2,871",38.556
29.0000001,119.9999999,"Zhejiang, China",Zhejiang,", ",China,1.213,1,1.095
23.1357694,113.1982688,"Guangdong, China",Guangdong,", ",China,1.35,7,1.129
34.0000001,113.9999999,"Henan, China",Henan,", ",China,1.272,22,1.234
27.6662087,111.7487063,"Hunan, China",Hunan,", ",China,1018,4,913
32,117,"Anhui, China",Anhui,", ",China,990,6,941
28,116,"Jiangxi, China",Jiangxi,", ",China,935,1,884
29.5585712,106.5492822,"Chongqing, China",Chongqing,", ",China,576,6,490
30.5000001,102.4999999,"Sichuan, China",Sichuan,", ",China,538,3,400
36.0000001,118.9999999,"Shandong, China",Shandong,", ",China,758,6,511
33.0000001,119.9999999,"Jiangsu, China",Jiangsu,", ",China,631,0,569
31.2252985,121.4890497,"Shanghai, China",Shanghai,", ",China,338,3,298
39.906217,116.3912757,"Beijing, China",Beijing,", ",China,417,8,294
26.5450001,117.842778,"Fujian, China",Fujian,", ",China,296,1,261
36,109,"Shaanxi, China",Shaanxi,", ",China,245,1,218
24,109,"Guangxi, China",Guangxi,", ",China,252,2,210
39.0000001,116,"Hebei, China",Hebei,", ",China,318,6,300
25,102,"Yunnan, China",Yunnan,", ",China,174,2,169
48.0000047,127.999992,"Heilongjiang, China",Heilongjiang,", ",China,480,13,372
40.9739116,122.3263915,"Liaoning, China",Liaoning,", ",China,125,1,106
19.2000001,109.5999999,"Hainan, China",Hainan,", ",China,168,5,155
37,112,"Shanxi, China",Shanxi,", ",China,133,0,124
39.1235635,117.1980785,"Tianjin, China",Tianjin,", ",China,136,3,124
38.0000001,101.9999999,"Gansu, China",Gansu,", ",China,91,2,86
27,107,"Guizhou, China",Guizhou,", ",China,146,2,114
37.3095528,105.9608553,"Ningxia, China",Ningxia,", ",China,75,0,69
43.2443242,114.3251664,"Inner Mongolia, China",Inner Mongolia,", ",China,75,1,60
41.7574769,87.1673842,"Xinjiang, China",Xinjiang,", ",China,76,3,68
42.9995032,125.9816054,"Jilin, China",Jilin,", ",China,93,1,84
35.4070952,95.9521157,"Qinghai, China",Qinghai,", ",China,18,0,18
31.8943432,87.0781371,"Tibet, China",Tibet,", ",China,1,0,1
22.1757605,113.5514142,"Macau, China",Macau,", ",China,10,0,9
22.2793278,114.1628131,"Hong Kong, China",Hong Kong,", ",China,100,2,37
22.6212963,108.9415941,"China, City NA",China,", ",City NA,0,0,0
23.9739374,120.9820179,"Taiwan, Taiwan",Taiwan,", ",Taiwan,42,1,12
38.5110803,-122.8473388,"Sonoma County, CA, US","Sonoma County, CA",", ",US,1,0,0
42.3602534,-71.0582912,"Boston, MA, US","Boston, MA",", ",US,1,0,1
34.0536909,-118.2427666,"Los Angeles, CA, US","Los Angeles, CA",", ",US,2,0,0
33.7500378,-117.8704931,"Orange, CA, US","Orange, CA",", ",US,3,0,0
36.6248089,-121.1177379,"San Benito, CA, US","San Benito, CA",", ",US,2,0,0
38.4732259,-121.2980707,"Sacramento County, CA, US","Sacramento County, CA",", ",US,2,0,0
37.496904,-122.3330573,"San Mateo, CA, US","San Mateo, CA",", ",US,2,0,0
32.7174209,-117.1627714,"San Diego, CA, US","San Diego, CA",", ",US,2,0,1
37.2333253,-121.6846349,"Santa Clara, CA, US","Santa Clara, CA",", ",US,11,0,1
41.8197385,-87.756525,"Cook County, IL, US","Cook County, IL",", ",US,4,0,2
29.4246002,-98.4951405,"San Antonio, TX, US","San Antonio, TX",", ",US,1,0,0
40.5997415,-123.8997734,"Humboldt, CA, US","Humboldt, CA",", ",US,1,0,0
42.1538607,-71.1828015,"Norfolk County, MA, US","Norfolk County, MA",", ",US,1,0,0
47.4873376,-121.8622122,"King County, WA, US","King County, WA",", ",US,21,8,1
34.0580391,-84.2961283,"Fulton County, GA, US","Fulton County, GA",", ",US,2,0,0
41.8239891,-71.4128343,"Providence, RI, US","Providence, RI",", ",US,2,0,0
45.6416995,-118.7671122,"Umatilla, OR, US","Umatilla, OR",", ",US,1,0,0
41.1763139,-73.7907554,"Westchester County, NY, US","Westchester County, NY",", ",US,1,0,0
35.7979355,-78.6118311,"Wake County, NC, US","Wake County, NC",", ",US,1,0,0
33.34883,-112.49123,"Maricopa County, AZ, US","Maricopa County, AZ",", ",US,1,0,0
40.7127281,-74.0060152,"New York City, NY, US","New York City, NY",", ",US,1,0,0
37.9034806,-121.9175345,"Contra Costa County, CA, US","Contra Costa County, CA",", ",US,1,0,0
27.9184543,-82.3488057,"Hillsborough, FL, US","Hillsborough, FL",", ",US,2,0,0
39.1012064,-120.7650606,"Placer County, CA, US","Placer County, CA",", ",US,2,0,0
48.0074736,-121.7304882,"Snohomish County, WA, US","Snohomish County, WA",", ",US,6,1,0
43.9702453,-71.8742626,"Grafton County, NH , US","Grafton County, NH ",", ",US,2,0,0
37.8708393,-122.2728639,"Berkeley, CA, US","Berkeley, CA",", ",US,1,0,0
